,Algorithm,ProofType,TotalCoinsMined,TotalCoinSupply,PC 1,PC 2,PC 3,CoinName,Class
ARCO,Scrypt,PoW/PoS,2449577.41533168,42000000,-0.3450398410026374,1.0229648830788396,-0.41344580911653767,AquariusCoin,0
KURT,X11,PoW,61364813.0,228000000,-0.2179801221241991,-0.8541528653916999,0.004759134923982891,Kurrent,3
XCRE,PoS,PoS,20000000.0,20000000,-0.35922052049635633,1.5418688942754917,-0.10734439297183573,Creatio,0
ENT,X11,PoW/PoS,6069482.07721352,60000000,-0.38617911946541605,1.292152252462152,-0.43233519925633607,Eternity,0
EUC,SHA-256,PoW/PoS,12416554.0,20000000,-0.305967998751622,0.8491857852475929,-0.27591133833328163,Eurocoin,0
BCF,Scrypt,PoW/PoS,20244023.640728,33000000,-0.34488603688732683,1.0229757190453752,-0.4134505682283756,BitcoinFast,0
XSN,X11,TPoS,75590369.0,76500000,-0.3608408300316573,0.9766094747822749,-0.3220530080613433,Stakenet,0
BCCOIN,Scrypt,PoW/PoS,11080722.3769581,28000000,-0.34503376313037687,1.0229753298968334,-0.41344688833675325,BitConnect Coin,0
MONEY,Scrypt,PoW/PoS,10914418.0,650659833,-0.34060723087736144,1.0226398007168198,-0.41352627168801576,MoneyCoin,0
XNG,X11,PoW/PoS,814671.0,5000000,-0.38663462029911777,1.2921801170610618,-0.43232643791965825,Enigma,0
XCI,CryptoNight,PoW,978145.0,21000000,0.30939813779514475,-2.2998274732262347,0.2974186523236194,Cannabis Industry Coin,3
RC,Scrypt,PoW/PoS,8377873.0,144000000,-0.3442418163554961,1.0229119226754075,-0.4134607902650307,Russiacoin,0
PND,Scrypt,PoS,33813143821.8337,32514916898,0.3409831506872873,0.8012499120534394,-0.21798993774512737,PandaCoin,0
UNITS,Scrypt,PoW/PoS,3472983.0,13000000,-0.3452335717133067,1.0229808518666574,-0.41344244906022576,GameUnits,0
GAKH,Scrypt,PoW/PoS,3315789.0,3315789,-0.3453043732596011,1.0229860165839768,-0.41344116136990405,GAKHcoin,0
ASAFE2,Quark,PoS,10517772.7391666,15000000,-0.3593783737106302,1.484996792692545,-0.24687516812630705,Allsafe,0
LTCR,QuBit,PoW/PoS,30227750.0,78835200,-0.34396717063081594,0.490229443824341,-0.26615276005203103,LiteCreed,0
OS76,Scrypt,PoW,894026.0,2714286,-0.179011020375529,-1.1232476821771387,0.023693843567994786,OsmiumCoin,3
BIC,CryptoNight,PoW,9357088.0,25000000,0.3095291506625654,-2.2998268092029694,0.29741536039938293,Bikercoins,3
HXX,Lyra2RE,PoW,1876146.443596,9999999,-0.14814352610097298,-2.17868516365984,0.2989960501114627,HexxCoin,3
KED,Scrypt,PoW/PoS,23965372.0,500000000,-0.34151902285784563,1.0227253634233422,-0.4135113832002431,Klingon Empire Darsek,0
IOP,SHA-256,PoW/PoS,2526078.47525448,21000000,-0.30608195202806554,0.8491819187921643,-0.2759081825136962,Internet of People,0
KUSH,X11,PoW/PoS,5659096.95728771,9354000,-0.38654435436618284,1.2921794011590193,-0.43232860163271497,KushCoin,0
PRX,Scrypt,PoW/PoS,11821728.0,20000000,-0.3450815914707975,1.02297988940628,-0.4134461136976192,Printerium,0
PAC,X11,PoW,536982074.0,100000000000,0.4974540352058783,-0.9077474497020448,-0.008127609197318492,PacCoin,3
IMPCH,Scrypt,PoW/PoS,308179.0,21933333,-0.3452087740023797,1.0229749740067826,-0.4134425381308976,Impeach,0
CTL,CryptoNight-V7,PoW,10969318.522954,185000000,-0.14134850137172128,-2.2064331852119863,0.33541816049986983,Citadel,3
ZBC,Scrypt,PoS,2922613.96424908,55000000,-0.30374107350225266,0.8073629337779673,-0.20262454465276758,Zilbercoin,0
FRST,Scrypt,PoW/PoS ,110000000.0,110000000,-0.3333077378278813,0.31102000808972663,-0.15716321854603385,FirstCoin,0
BVC,Scrypt,PoW,3115258.0,3360000,-0.178979238567536,-1.1232472827310147,0.02369302379282724,BeaverCoin,3
FIND,X13,PoS,14524851.4827,14524851.4827,-0.23458855384304958,1.5656232787922466,-0.2614166406973453,FindCoin,0
VLTC,X11,PoW,30385540.0,1000000000,-0.21286860198764435,-0.8545792223603988,0.0046709280069479045,VaultCoin,3
ZER,Equihash,PoW,6921653.89980891,17000000,-0.13598189332310512,-2.2143226294720106,0.22683003933727827,Zero,3
CHAT,Scrypt,PoW/PoS,1000000000.0,1000000000,-0.3260155780552723,1.0227843660409681,-0.4138991928148529,OpenChat,0
CDN,Scrypt,PoW,99843408.3158479,100000000 ,-0.17710788896125462,-1.1232668054124795,0.023648583111320957,Canada eCoin,3
ZOI,Lyra2RE,PoW,18545757.5,21000000,-0.14786124388209876,-2.178685481637656,0.2989891128298474,Zoin,3
RNS,Scrypt,PoS,36050365.0,34426423,-0.3034818953366776,0.807385164230034,-0.20263291750156354,RenosCoin,0
DBIX,Dagger-Hashimoto,PoW,2232901.0,2232901,-0.1480730047765012,-2.258379320595748,0.42558463409409375,DubaiCoin,3
XVP,X11,PoW/PoS,13162749.0858027,100000000,-0.3858077998671627,1.292133088034569,-0.4323426572251595,VirtacoinPlus,0
TAJ,Blake2S,PoW/PoS,12184195.9258495,36900000,-0.3937746046552939,1.8017695248370886,-0.6452798997077215,TajCoin,0
IMX,X11,PoW/PoS,110630387.850471,110000000,-0.3845436115251634,1.29216049357703,-0.4323762899208097,Impact,0
EB3,Scrypt,PoW,64096052.0,4000000000,-0.14980733621265085,-1.1253800531841631,0.02316289075775476,EB3coin,3
ATMOS,PoS,PoS,111135836.889,110290030,-0.35746278744972176,1.5418509112447227,-0.10738616701507937,Atmos,0
HPC,X11,PoW/PoS,21521322.0099142,100000000,-0.3857054856989294,1.2921359003021715,-0.4323454320694717,HappyCoin,0
CXT,NIST5,PoW,10123200.0,48252000,-0.18242894218525849,-0.6799925280128817,-0.012193225608496401,Coinonat,3
MCRN,PoS,PoS,401421401.0,400000000,-0.35184899474701925,1.5417924903789673,-0.10751949583122568,MacronCoin,0
RAIN,X11,PoW/PoS,121665451.643876,500000000,-0.38163472315405594,1.2919540843118729,-0.4324297092566807,Condensate,0
IMS,Scrypt,PoW/PoS,5368934.0,21212121,-0.34515195669558535,1.0229770652840071,-0.41344412616753123,Independent Money System,0
